feature,importance,Running_sum
var4,0.4301569994,0.4301569994
var17,0.1161498503,0.5463068497
var15,0.1155826542,0.6618895039
var12,0.0949236956,0.7568131996
var13,0.0470329087,0.8038461083
weatherVar196,0.0147066053,0.8185527136
weatherVar197,0.0138379614,0.832390675
weatherVar103,0.0119752638,0.8443659388
weatherVar102,0.0100853231,0.8544512619
weatherVar91,0.0073970588,0.8618483208
var1,0.0071629235,0.8690112443
var16,0.0065985019,0.8756097461
weatherVar142,0.00596683,0.8815765762
var3,0.0052702697,0.8868468459
weatherVar36,0.0050643429,0.8919111888
weatherVar113,0.0050250007,0.8969361895
weatherVar128,0.0048275548,0.9017637443
weatherVar77,0.0046357774,0.9063995217
weatherVar186,0.0045230194,0.9109225411
weatherVar6,0.0038364312,0.9147589723
weatherVar187,0.0036706433,0.9184296156
weatherVar178,0.0036503158,0.9220799313
weatherVar27,0.0035821226,0.9256620539
weatherVar78,0.003511993,0.9291740469
weatherVar85,0.0032254019,0.9323994488
weatherVar159,0.0032182915,0.9356177403
weatherVar163,0.0031855774,0.9388033177
weatherVar182,0.0031084956,0.9419118132
var10,0.0029772825,0.9448890957
weatherVar84,0.0028192944,0.9477083901
weatherVar119,0.0025993538,0.9503077439
weatherVar58,0.0025645829,0.9528723268
weatherVar86,0.0021443815,0.9550167083
weatherVar168,0.0018840142,0.9569007224
var8,0.0018260691,0.9587267915
weatherVar227,0.0017999605,0.960526752
weatherVar129,0.0017567318,0.9622834839
geodemVar37,0.0016544416,0.9639379255
weatherVar141,0.0016319509,0.9655698763
var9,0.0016131321,0.9671830084
weatherVar15,0.0014864881,0.9686694965
weatherVar126,0.0013071031,0.9699765996
weatherVar212,0.0012449705,0.9712215701
weatherVar206,0.0012328759,0.972454446
crimeVar3,0.0012120856,0.9736665317
geodemVar36,0.001127222,0.9747937537
weatherVar22,0.0011262842,0.9759200379
weatherVar156,0.0011227347,0.9770427727
weatherVar13,0.0010972717,0.9781400443
weatherVar185,0.000936133,0.9790761773
weatherVar179,0.0009175884,0.9799937658
weatherVar234,0.000857697,0.9808514628
weatherVar123,0.0007804538,0.9816319166
weatherVar60,0.0007399461,0.9823718627
geodemVar3,0.0007310572,0.9831029199
weatherVar31,0.0007173656,0.9838202856
weatherVar70,0.000697054,0.9845173396
weatherVar155,0.0006259794,0.985143319
weatherVar161,0.0006207528,0.9857640718
weatherVar73,0.000586558,0.9863506298
weatherVar104,0.0005860607,0.9869366906
geodemVar29,0.0005720995,0.9875087901
weatherVar12,0.0005715262,0.9880803162
geodemVar8,0.0005536193,0.9886339355
weatherVar44,0.000489525,0.9891234606
weatherVar143,0.0004876564,0.9896111169
weatherVar194,0.0004707661,0.990081883
weatherVar74,0.0004694466,0.9905513296
crimeVar1,0.0004664034,0.991017733
weatherVar110,0.0004548232,0.9914725562
weatherVar20,0.0004463404,0.9919188966
weatherVar33,0.0004041991,0.9923230958
weatherVar53,0.0004017624,0.9927248582
weatherVar87,0.0003934415,0.9931182997
weatherVar68,0.0003899475,0.9935082472
weatherVar191,0.0003797554,0.9938880026
geodemVar1,0.0003138875,0.9942018901
weatherVar193,0.0003074848,0.9945093748
weatherVar131,0.0003062236,0.9948155985
weatherVar190,0.000298906,0.9951145045
weatherVar118,0.0002975839,0.9954120883
weatherVar218,0.0002967923,0.9957088806
weatherVar171,0.0002961929,0.9960050735
weatherVar184,0.0002815726,0.9962866461
weatherVar133,0.0002600946,0.9965467406
geodemVar27,0.00022828,0.9967750206
geodemVar22,0.0002187991,0.9969938198
weatherVar88,0.0001979558,0.9971917756
weatherVar188,0.0001907192,0.9973824947
weatherVar45,0.0001897977,0.9975722924
weatherVar154,0.000183474,0.9977557664
geodemVar19,0.000176964,0.9979327304
weatherVar192,0.0001761635,0.9981088939
weatherVar16,0.0001746016,0.9982834955
weatherVar109,0.0001691565,0.998452652
weatherVar96,0.0001526167,0.9986052687
weatherVar48,0.0001515745,0.9987568432
weatherVar106,0.000125812,0.9988826552
weatherVar10,0.0001204672,0.9990031224
weatherVar160,0.0001064454,0.9991095678
weatherVar89,9.90585580278688E-005,0.9992086264
weatherVar127,9.90177985967411E-005,0.9993076442
weatherVar50,9.4604406063927E-005,0.9994022486
weatherVar174,9.17690599707E-005,0.9994940177
weatherVar189,8.67648890498592E-005,0.9995807825
weatherVar176,8.43831046811235E-005,0.9996651657
weatherVar95,8.35386984854735E-005,0.9997487043
var14,7.95557455411574E-005,0.9998282601
weatherVar62,0.000078678,0.9999069381
weatherVar59,6.52212643368397E-005,0.9999721594
weatherVar52,2.10000965108012E-005,0.9999931595
var5,3.48182312909508E-006,0.9999966413
crimeVar9,3.35867774434104E-006,1
weatherVar213,0,1
weatherVar214,0,1
weatherVar208,0,1
weatherVar28,0,1
weatherVar1,0,1
weatherVar216,0,1
weatherVar217,0,1
weatherVar29,0,1
geodemVar35,0,1
weatherVar30,0,1
weatherVar19,0,1
weatherVar207,0,1
geodemVar34,0,1
weatherVar18,0,1
weatherVar32,0,1
weatherVar205,0,1
weatherVar34,0,1
weatherVar26,0,1
weatherVar211,0,1
weatherVar25,0,1
weatherVar8,0,1
weatherVar11,0,1
weatherVar21,0,1
weatherVar14,0,1
weatherVar209,0,1
weatherVar210,0,1
weatherVar9,0,1
weatherVar7,0,1
weatherVar2,0,1
weatherVar215,0,1
weatherVar5,0,1
weatherVar4,0,1
weatherVar17,0,1
weatherVar23,0,1
weatherVar24,0,1
weatherVar3,0,1
geodemVar26,0,1
geodemVar33,0,1
weatherVar224,0,1
geodemVar2,0,1
crimeVar8,0,1
crimeVar7,0,1
crimeVar6,0,1
crimeVar5,0,1
crimeVar4,0,1
weatherVar221,0,1
crimeVar2,0,1
weatherVar222,0,1
weatherVar223,0,1
weatherVar225,0,1
geodemVar32,0,1
weatherVar226,0,1
weatherVar228,0,1
weatherVar229,0,1
weatherVar230,0,1
weatherVar231,0,1
var7,0,1
var6,0,1
weatherVar232,0,1
weatherVar233,0,1
var2,0,1
weatherVar220,0,1
geodemVar4,0,1
geodemVar5,0,1
geodemVar6,0,1
geodemVar31,0,1
geodemVar30,0,1
geodemVar28,0,1
weatherVar204,0,1
geodemVar25,0,1
geodemVar24,0,1
geodemVar23,0,1
geodemVar21,0,1
geodemVar20,0,1
geodemVar18,0,1
geodemVar17,0,1
geodemVar16,0,1
geodemVar15,0,1
geodemVar14,0,1
geodemVar13,0,1
geodemVar12,0,1
geodemVar11,0,1
geodemVar10,0,1
geodemVar9,0,1
weatherVar219,0,1
geodemVar7,0,1
weatherVar35,0,1
weatherVar162,0,1
weatherVar37,0,1
weatherVar183,0,1
weatherVar132,0,1
weatherVar130,0,1
weatherVar172,0,1
weatherVar173,0,1
weatherVar125,0,1
weatherVar124,0,1
weatherVar175,0,1
weatherVar122,0,1
weatherVar121,0,1
weatherVar120,0,1
weatherVar117,0,1
weatherVar116,0,1
weatherVar115,0,1
weatherVar114,0,1
weatherVar177,0,1
weatherVar112,0,1
weatherVar111,0,1
weatherVar180,0,1
weatherVar108,0,1
weatherVar107,0,1
weatherVar105,0,1
weatherVar134,0,1
weatherVar135,0,1
weatherVar136,0,1
weatherVar149,0,1
weatherVar165,0,1
weatherVar158,0,1
weatherVar157,0,1
weatherVar166,0,1
weatherVar167,0,1
weatherVar153,0,1
weatherVar152,0,1
weatherVar151,0,1
weatherVar150,0,1
weatherVar148,0,1
weatherVar137,0,1
weatherVar147,0,1
weatherVar146,0,1
weatherVar145,0,1
weatherVar144,0,1
weatherVar169,0,1
weatherVar170,0,1
weatherVar140,0,1
weatherVar139,0,1
weatherVar138,0,1
weatherVar181,0,1
weatherVar101,0,1
weatherVar38,0,1
weatherVar100,0,1
weatherVar64,0,1
weatherVar63,0,1
weatherVar61,0,1
weatherVar200,0,1
weatherVar201,0,1
weatherVar57,0,1
weatherVar56,0,1
weatherVar55,0,1
weatherVar54,0,1
weatherVar202,0,1
weatherVar51,0,1
weatherVar164,0,1
weatherVar49,0,1
weatherVar47,0,1
weatherVar46,0,1
weatherVar203,0,1
weatherVar43,0,1
weatherVar42,0,1
weatherVar41,0,1
weatherVar40,0,1
weatherVar39,0,1
weatherVar65,0,1
weatherVar66,0,1
weatherVar67,0,1
weatherVar82,0,1
weatherVar99,0,1
weatherVar98,0,1
weatherVar97,0,1
weatherVar94,0,1
weatherVar93,0,1
weatherVar92,0,1
weatherVar90,0,1
weatherVar235,0,1
weatherVar83,0,1
weatherVar81,0,1
weatherVar69,0,1
weatherVar80,0,1
weatherVar79,0,1
weatherVar76,0,1
weatherVar75,0,1
weatherVar195,0,1
weatherVar198,0,1
weatherVar72,0,1
weatherVar71,0,1
weatherVar199,0,1
weatherVar236,0,1
